Site,Depth,Time,CO2,CH4,N2O,DOC,FeII,CO2Pr,CH4Pr,N2OPr,DOCPr,FeIIPr,CO2sd,CH4sd,N2Osd,Fesd,NH4,NH4sd,NO3,NO3sd,SO4,SO4sd,DOC sd
Burned 1,0-12 cm,1,243.788,0.0763649,29.00629,7.538899401,0.540179406,243.788,0.076365,29.00629,7.538899,0.540179,37.69613515,0.026095555,5.143698925,0.009186434,0.722674353,0.013109447,0.962679361,0.071040951,1.425095845,0.175694428,1.167040783
Burned 1,0-12 cm,2,428.8113,0.2157147,293.58772,9.593825451,0.616103171,185.0233,0.1393498,264.58143,2.05492605,0.075923765,64.67298385,0.06200528,1.466021133,0.076419319,0.077998711,0.014686453,0.700415187,0.063666077,3.386073105,0.168610319,2.229927814
Burned 1,0-12 cm,3,568.7718,0.2514433,220.78847,14.76381789,0.78648231,139.9605,0.0357286,-72.79925,5.169992439,0.170379139,91.70424195,0.034444669,2.008752446,0.02215793,0.678052889,0.089726689,0.366600327,0.014891352,2.413315585,0.005218919,0.681919146
Burned 1,0-12 cm,4,816.1516,0.3025561,18.329066,19.68285384,0.486274927,247.3798,0.0511128,-202.459404,4.91903595,-0.300207383,22.0520483,0.024698095,4.684189103,0.036332173,0.430653712,0.009752568,0.177423232,0.033908166,2.460553927,0.148875132,0.038598667
Burned 1,0-12 cm,5,926.3242,0.451448,15.307064,9.847254688,0.635160313,110.1726,0.1488919,-3.022002,-9.835599152,0.148885386,166.7157418,0.0118896,4.646036417,0.086299032,1.090314762,0.02865787,0.146913291,0.007682031,2.78026776,0.081976967,0.503394717
Burned 1,0-12 cm,6,1135.6134,0.452538,14.998342,12.79626927,2.918906232,209.2892,0.00109,-0.308722,2.949014582,2.283745919,77.3200631,0.03808,2.727559884,0.020390665,1.564521901,0.052738984,0.190841339,0.064072658,2.524217468,0.092428262,1.178315716
Burned 1,0-12 cm,24,1365.8295,0.4673251,13.849347,13.99978828,4.194468719,,,,,,70.88018825,0.0835833,1.394121115,0.026905076,2.456759541,0.035227794,0.026459542,0.011165449,1.662292936,0.078402586,0.881684094
Burned 1,0-12 cm,48,1547.1347,0.621603,13.304206,14.66019866,4.29574511,,,,,,81.23248805,0.079309925,1.486357269,0.018677037,2.63573834,0.028977483,0.098579031,0.014982411,1.910439397,0.142929845,0.289134932
Burned 1,0-12 cm,72,1723.0377,0.808714,10.740757,10.45718289,3.707664796,,,,,,73.51002085,0.186464545,1.26022809,0.018062393,2.079288742,0.055036646,0.071141387,0.009607387,1.397185311,0.161403687,0.257926965
Burned 1,0-12 cm,96,1888.1864,0.8165863,10.461536,13.98395591,3.287928676,,,,,,39.47221875,0.198990235,0.317963558,0.085350182,2.449139891,0.051525051,0.05971042,0.007748859,1.475143155,0.091877181,0.198022285
Burned 1,0-12 cm,120,2071.8327,0.870909,9.644369,13.44010639,2.83420919,,,,,,31.8780488,0.207623625,1.690456217,0.013150079,2.54891978,0.067045422,0.085434003,0.005110573,0.090999643,0.037368265,1.081260177
Burned 1,0-12 cm,144,2242.1262,0.8793368,6.942506,19.55972782,3.853315927,,,,,,21.07642813,0.05107529,1.096482409,0.038873733,3.205934527,0.037985382,0.087478427,0.008279373,0.305223074,0.026146797,0.571247574
Burned 1,0-12 cm,168,2414.4678,0.8949014,5.580299,18.7908171,5.978489029,,,,,,140.5902114,0.01197303,3.04026901,0.064146658,3.327638345,0.071437669,0.07750665,0.019343436,0.229370294,0.018389119,0.380477405
Burned 1,12-24 cm,1,154.953304,0.2904995,1.903287,0.225062108,0.393709334,154.953304,0.2904995,1.903287,0.225062108,0.393709334,17.2671587,0.32598386,0.432717797,0.013902922,0.181187971,0.03088662,0.911617482,0.050405779,2.086656786,0.129211207,0.046958502
Burned 1,12-24 cm,2,165.305712,0.5117777,15.856133,1.083870192,0.253796935,10.352408,0.2212782,13.952846,0.858808084,-0.139912399,27.18953155,0.346832304,0.590442363,0.032882794,0.551352061,0.031784755,0.916000523,0.0150321,3.801641989,0.176923188,0.095215656
Burned 1,12-24 cm,3,238.059008,0.5409734,15.326529,8.859420069,0.448558171,72.753296,0.0291957,-0.529604,7.775549877,0.194761236,43.80585534,0.015318006,0.210325875,0.009627102,0.416160479,0.026570964,0.822642737,0.045991172,2.549173663,0.080283921,0.257963659
Burned 1,12-24 cm,4,289.943192,0.7707581,1.347984,10.51995165,0.356139237,51.884184,0.2297847,-13.978545,1.660531581,-0.092418934,1.36522767,0.218141579,0.056185675,0.046505894,0.28138165,0.066631915,0.61624186,0.013231497,2.406087426,0.116749708,1.521478725
Burned 1,12-24 cm,5,339.839808,0.9007307,1.189069,30.15736162,0.63038201,49.896616,0.1299726,-0.158915,19.63740997,0.274242773,57.21765285,0.137393864,0.506464793,0.031023489,0.409330462,0.059359646,0.531443222,0.038297988,1.885437492,0.137022002,0.009885636
Burned 1,12-24 cm,6,353.374824,0.9424526,1.161094,25.02859062,1.916045424,13.535016,0.0417219,-0.027975,-5.128771,1.285663414,14.53436065,0.073579654,0.090149312,0.064698936,0.978084088,0.02764163,0.303574322,0.0642056,1.595804356,0.027979356,0.418322283
Burned 1,12-24 cm,24,563.67036,1.1377119,1.140831,26.15480045,1.267129231,,,,,,100.1344829,0.09182292,0.043708775,0.040372817,1.595127869,0.020488866,0.247880422,0.006890212,1.075947643,0.142202272,0.961340571
Burned 1,12-24 cm,48,639.285064,1.2828413,0.824172,18.48029792,2.21277259,,,,,,123.8321916,0.33443914,0.05384714,0.020182628,1.593649971,0.020573053,0.105331582,0.015669017,0.618960576,0.12206084,2.739339684
Burned 1,12-24 cm,72,682.062392,1.8502964,0.324541,7.903723814,2.600490345,,,,,,10.10617532,0.347763408,0.039821186,0.072417717,1.433562377,0.023646493,0.14004573,0.005218209,0.327497533,0.073310978,2.063046044
Burned 1,12-24 cm,96,711.432744,2.2413643,0.285612,13.58168084,3.281878231,,,,,,19.93168601,0.108175329,0.062853552,0.020237158,2.801794297,0.074931954,0.097236374,0.003953291,0.16417709,0.03210599,1.908550087
Burned 1,12-24 cm,120,859.918752,2.981168,0.236189,19.82043723,2.93319826,,,,,,78.17959355,0.162787513,0.062627521,0.039158457,3.179141415,0.037545957,0.079221444,0.00091082,0.535317493,0.001399515,0.350149705
Burned 1,12-24 cm,144,943.219464,3.2176821,0.222506,15.535241,2.957326751,,,,,,33.81948228,0.235645919,0.011109232,0.028600033,2.921876212,0.00597422,0.04438813,0.002456961,0.37490649,0.008770846,2.558447074
Burned 1,12-24 cm,168,978.274528,3.4886093,0.199219,12.01714565,2.490610728,,,,,,131.6655737,0.047865648,0.020225383,0.015265968,3.114001236,0.019660544,0.078866132,0.008264057,0.423258773,0.049302846,1.657825072
Burned 2,0-12 cm,1,127.9951,0.1220775,8.273617,9.556918576,0.042686918,127.9951,0.1220775,8.273617,9.556918576,0.042686918,29.830629,0.078664005,0.595992,0.024690968,0.255104437,0.058458607,0.434934914,0.008434838,1.062260352,0.097215203,2.399299756
Burned 2,0-12 cm,2,405.1457,0.2980317,68.586639,17.87429079,0.144410133,277.1506,0.1759542,60.313022,8.317372214,0.101723215,60.7315601,0.03472915,4.354993261,0.023472168,0.298242903,0.038304606,0.379027621,0.070486375,2.967740231,0.167210231,0.434554262
Burned 2,0-12 cm,3,740.582,0.48157,62.730171,12.82148122,0.22551711,335.4363,0.1835383,-5.856468,-5.05280957,0.081106977,61.7950879,0.076278835,7.344311243,0.062209812,0.394343479,0.074471469,0.223927506,0.023541024,3.784738008,0.031521921,1.00255173
Burned 2,0-12 cm,4,990.45,0.7478391,5.120585,14.05836309,0.249641462,249.868,0.2662691,-57.609586,1.23688187,0.024124352,59.2173191,0.23696495,0.082062494,0.021333233,0.204314726,0.008890999,0.16430603,0.008010708,2.696464779,0.181336892,2.3625428
Burned 2,0-12 cm,5,1154.077,0.9458097,4.415082,9.103046581,0.874578582,163.627,0.1979706,-0.705503,-4.955316509,0.62493712,44.35133144,0.3183595,0.083721212,0.049091351,0.157752173,0.067311278,0.173620562,0.039034867,2.492996137,0.147074258,0.766208096
Burned 2,0-12 cm,6,1248.3868,0.9726099,4.218686,10.42069486,2.449737403,94.3098,0.0268002,-0.196396,1.317648279,1.575158821,0.2291231,0.118759878,4.854734301,0.076891175,0.400920967,0.053486387,0.127203195,0.00795153,2.322822595,0.097436719,2.42893728
Burned 2,0-12 cm,24,1334.1813,1.0041925,3.405874,16.98046432,3.315704873,,,,,,27.72473382,0.188,0.861012728,0.046189277,0.6405858,0.077122311,0.055019732,0.007337842,1.630322207,0.094813368,2.446011174
Burned 2,0-12 cm,48,1397.6217,1.4117315,3.048316,23.9501079,1.643573235,,,,,,55.3248251,0.161032645,0.34254338,0.086404848,0.975034978,0.034432165,0.119387055,0.005162966,1.496758519,0.159196038,1.145497959
Burned 2,0-12 cm,72,1545.9772,1.4150772,2.674196,28.58283669,3.146735655,,,,,,52.55223055,0.3397356,0.069883284,0.02038224,0.693498587,0.07783318,0.072765458,0.035515413,1.089332346,0.135227825,0.804492499
Burned 2,0-12 cm,96,1795.7652,1.5630424,1.817864,38.91057065,2.726723986,,,,,,77.92919805,0.13102068,0.033425962,0.063221196,1.12097738,0.077074577,0.047913236,0.003100654,0.442458803,0.043538269,1.118388175
Burned 2,0-12 cm,120,1910.0629,1.9584688,1.808925,44.94172626,3.202121804,,,,,,113.781464,0.092310615,0.080912681,0.05292091,1.180458005,0.002646334,0.097774473,0.00837373,0.240368048,0.088081086,0.142375756
Burned 2,0-12 cm,144,2208.6962,2.0790619,0.393999,25.63783635,3.94954406,,,,,,128.7229593,0.418180155,0.051211695,0.027421541,1.138478426,0.031010221,0.097697445,0.018141136,0.374160018,0.039777404,1.383275969
Burned 2,0-12 cm,168,2597.0195,2.4829906,0.200137,25.50849065,3.296427251,,,,,,8.732403615,0.035438235,0.084888159,0.007486425,1.010587311,0.042722847,0.038012448,0.009126906,0.27694662,0.053863436,0.011989136
Burned 2,12-24 cm,1,223.351656,0.01083321,1.218061,0.180087535,0.073499796,223.351656,0.01083321,1.218061,0.180087535,0.073499796,34.86986825,0.284079594,0.099462845,0.027296382,0.16800795,0.057893702,0.661309686,0.022359827,1.20114104,0.036198313,0.005618921
Burned 2,12-24 cm,2,327.029912,0.20518462,28.90403,4.699412628,0.104497962,103.678256,0.19435141,27.685969,4.519325093,0.030998166,38.06281548,0.127222913,1.015811042,0.011570929,0.394495791,0.085071637,0.548553974,0.039770043,2.889359681,0.107870243,0.712751318
Burned 2,12-24 cm,3,410.508208,0.4170764,21.634295,5.167311004,0.591774941,83.478296,0.21189178,-7.269735,0.467898376,0.487276979,11.3836907,0.054612895,0.236255807,0.085319984,0.37155165,0.020549713,0.411842101,0.083079633,2.903436266,0.111467672,1.078883685
